variant,feature,model_importance
legacy_baseline,numeric__merchant_previous_max_amount,0.4246880991530591
legacy_baseline,numeric__merchant_transactions_last_6_steps,0.11967491144954105
legacy_baseline,numeric__merchant_transactions_last_3_steps,0.09900533910124046
legacy_baseline,numeric__merchant_transactions_per_step,0.06660549462335627
legacy_baseline,numeric__category_previous_max_amount,0.04303483946112373
legacy_baseline,numeric__merchant_transactions_last_1_steps,0.03321457479588672
legacy_baseline,numeric__merchant_previous_std_amount,0.030616307570591837
legacy_baseline,numeric__category_previous_std_amount,0.026352977031837914
legacy_baseline,numeric__category_previous_avg_amount,0.01743282166587511
legacy_baseline,numeric__amount,0.016040387208113172
legacy_baseline,numeric__log_amount,0.015835499220772847
legacy_baseline,numeric__customer_previous_avg_spend,0.011634581898137441
legacy_baseline,numeric__merchant_previous_avg_amount,0.011424720088285795
legacy_baseline,numeric__category_amount_ratio,0.010821125723848924
legacy_baseline,numeric__merchant_transactions_last_24_steps,0.01055806335588106
legacy_baseline,numeric__merchant_amount_ratio,0.005850874406945258
legacy_baseline,numeric__customer_previous_std_spend,0.004994084745841602
legacy_baseline,numeric__customer_previous_max_spend,0.0048214915534901025
legacy_baseline,numeric__customer_spend_per_step,0.0037496193933623657
legacy_baseline,numeric__category_previous_transaction_count,0.003131113939395686
legacy_baseline,numeric__category_previous_total_amount,0.002670492762560688
legacy_baseline,numeric__customer_amount_last_24_steps,0.0022292445579776155
legacy_baseline,numeric__customer_transactions_per_step,0.0020209806014388396
legacy_baseline,numeric__category_amount_last_6_steps,0.0018006495017301601
legacy_baseline,numeric__customer_previous_transaction_count,0.00166522600613362
legacy_baseline,numeric__merchant_amount_last_24_steps,0.0016100318854893934
legacy_baseline,numeric__customer_amount_ratio,0.0015338506593635577
legacy_baseline,numeric__merchant_velocity_ratio,0.0015195768272113015
legacy_baseline,numeric__customer_amount_last_6_steps,0.0013935236685616683
legacy_baseline,numeric__customer_previous_min_spend,0.0013635542309822107
legacy_baseline,numeric__category_amount_last_24_steps,0.0013141907965734314
legacy_baseline,categorical__category_es_transportation,0.0012923800846349515
legacy_baseline,numeric__customer_transactions_last_24_steps,0.0012410203333702936
legacy_baseline,numeric__customer_category_spend_share,0.0011981850852960327
legacy_baseline,numeric__customer_previous_total_spend,0.0011258764814199966
legacy_baseline,numeric__merchant_previous_total_received,0.0011014311564728778
legacy_baseline,numeric__merchant_recent_amount_ratio,0.0010577910476349643
legacy_baseline,numeric__category_transactions_last_24_steps,0.000970079767448573
legacy_baseline,numeric__merchant_previous_transaction_count,0.0009695026403012951
legacy_baseline,numeric__category_amount_last_3_steps,0.0009020540279294979
legacy_baseline,numeric__merchant_amount_last_6_steps,0.0008988236182533685
legacy_baseline,numeric__category_amount_per_step,0.0008440555212796302
legacy_baseline,numeric__customer_amount_last_3_steps,0.0008274110166480223
legacy_baseline,numeric__merchant_received_per_step,0.0008163722282635783
legacy_baseline,numeric__category_amount_last_1_steps,0.0008071428717850269
legacy_baseline,numeric__category_velocity_ratio,0.0007949192865396473
legacy_baseline,numeric__merchant_amount_last_3_steps,0.0007608211208412074
legacy_baseline,numeric__merchant_amount_last_1_steps,0.0007494967311932568
legacy_baseline,numeric__customer_velocity_ratio,0.0007324694667941119
legacy_baseline,numeric__customer_transactions_last_6_steps,0.0006886983121309645
legacy_baseline,numeric__category_transactions_per_step,0.0005838200395309916
legacy_baseline,numeric__category_previous_min_amount,0.000580352970960938
legacy_baseline,numeric__merchant_previous_min_amount,0.0005354373134464473
legacy_baseline,numeric__category_transactions_last_6_steps,0.0005307735168908554
legacy_baseline,numeric__category_transactions_last_1_steps,0.0005307095619591048
legacy_baseline,numeric__category_transactions_last_3_steps,0.0005283682461852207
legacy_baseline,numeric__customer_category_previous_transaction_count,0.00032375966818039455
corrected_simulation_day,numeric__merchant_previous_max_amount,0.42279935540503677
corrected_simulation_day,numeric__merchant_transactions_last_3_steps,0.13996537107658763
corrected_simulation_day,numeric__merchant_transactions_last_6_steps,0.09077960958420284
corrected_simulation_day,numeric__category_previous_max_amount,0.059405580076772165
corrected_simulation_day,numeric__merchant_transactions_per_step,0.04613604112164698
corrected_simulation_day,numeric__merchant_transactions_last_1_steps,0.04150117128495651
corrected_simulation_day,numeric__merchant_previous_std_amount,0.031621352636144656
corrected_simulation_day,numeric__log_amount,0.01775337513375626
corrected_simulation_day,numeric__merchant_transactions_last_24_steps,0.013803646796269413
corrected_simulation_day,numeric__amount,0.013727073241980477
corrected_simulation_day,numeric__category_previous_avg_amount,0.013577733337390199
corrected_simulation_day,numeric__category_amount_ratio,0.011689349977698299
corrected_simulation_day,numeric__customer_previous_avg_spend,0.0100235308534126
corrected_simulation_day,numeric__category_previous_std_amount,0.009765296896158017
corrected_simulation_day,numeric__merchant_previous_avg_amount,0.008319205389422922
corrected_simulation_day,numeric__customer_previous_std_spend,0.006085952690756083
corrected_simulation_day,numeric__merchant_amount_ratio,0.005147179726166292
corrected_simulation_day,numeric__category_transactions_last_6_steps,0.004561961549083222
corrected_simulation_day,numeric__customer_previous_max_spend,0.0043872739270561815
corrected_simulation_day,numeric__customer_spend_per_step,0.004274953628935435
corrected_simulation_day,numeric__category_previous_total_amount,0.0034692852973928906
corrected_simulation_day,numeric__customer_amount_last_24_steps,0.0025861024347773836
