variant,iteration,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_features,max_depth,train_precision,train_recall,train_f1,train_f2,train_pr_auc,train_roc_auc,validation_precision,validation_recall,validation_f1,validation_f2,validation_pr_auc,validation_roc_auc,f1_gap,pr_auc_gap,selection_score
legacy_baseline,1,200,10,10,0.6,0.5,15,0.739247311827957,0.9821428571428571,0.843558282208589,0.9215817694369973,0.9690059901089202,0.999563368034005,0.78046875,0.925,0.8466101694915255,0.8919642857142858,0.9493129125382178,0.999084132890021,-0.003051887282936483,0.019693077570702378,0.9493129125382178
legacy_baseline,2,100,2,10,0.6,0.5,6,0.35893191305599537,0.989484126984127,0.5267772261540087,0.7322194162212956,0.9195770884426289,0.998433115613412,0.4208647362157874,0.9824074074074074,0.5892807553457373,0.7754714223066803,0.9316438112239394,0.9988513785631091,-0.06250352919172864,-0.01206672278131049,0.9316438112239394
legacy_baseline,3,200,10,20,0.75,log2,12,0.5337312160289885,0.9936507936507937,0.694446370380642,0.8475781064888468,0.9523097000183907,0.9992626895754707,0.595292766934558,0.9601851851851851,0.7349397590361446,0.8553282744968658,0.926905301215046,0.998915259195188,-0.04049338865550256,0.025404398803344663,0.926905301215046
legacy_baseline,4,300,10,20,,sqrt,12,0.5553713527851459,0.9970238095238095,0.7133730834752982,0.8602095316351684,0.9626483675727653,0.9994409883014332,0.6188207266229899,0.962037037037037,0.7531714389271476,0.865977662943824,0.9367880031349939,0.9990160189742638,-0.0397983554518494,0.0258603644377714,0.9367880031349939
legacy_baseline,5,200,20,2,0.75,0.5,12,0.6381134480560867,0.9932539682539683,0.7770275514163756,0.8937689698268166,0.9630699152678309,0.9994578319215675,0.726027397260274,0.9324074074074075,0.8163761653830564,0.8822498685824426,0.9375374716542446,0.9989090236827433,-0.03934861396668077,0.02553244361358631,0.9375374716542446
legacy_baseline,6,150,5,10,0.9,0.75,12,0.6516839378238342,0.9982142857142857,0.7885579937304075,0.9022596843615495,0.9717240758370219,0.9995948604188583,0.7127808988764045,0.9398148148148148,0.810702875399361,0.8835306406685237,0.9469217175035421,0.9989971789550119,-0.022144881668953564,0.024802358333479768,0.9469217175035421
legacy_baseline,7,200,5,10,0.6,log2,6,0.2869007388739332,0.9938492063492064,0.44526423396595405,0.6657540072835535,0.8909927491969558,0.9977982271267721,0.3447385409941898,0.9888888888888889,0.511249401627573,0.7198705850633594,0.8830357646348534,0.9981976031986843,-0.06598516766161899,0.007956984562102365,0.8830357646348534
legacy_baseline,8,200,5,2,0.6,0.75,10,0.5795613625758282,0.9857142857142858,0.7299441669115486,0.8645412780175414,0.9461496374658445,0.9991493037554547,0.653870761356366,0.9462962962962963,0.7733636019674612,0.8686044535101138,0.9307855981509461,0.9988442754181986,-0.043419435055912614,0.015364039314898381,0.9307855981509461
legacy_baseline,9,200,50,10,,log2,12,0.5351017364440184,0.9966269841269841,0.6963332640188535,0.8500016922191762,0.9614531574908154,0.999421523632982,0.6225961538461539,0.9592592592592593,0.7551020408163265,0.8656417112299465,0.9290800577772196,0.9989278827708405,-0.058768776797472944,0.03237309971359581,0.9290800577772196
legacy_baseline,10,200,2,2,,sqrt,20,0.8899876390605687,1.0,0.9417920209287116,0.9758742206560044,0.9967286522094578,0.999958725207692,0.9089108910891089,0.85,0.8784688995215311,0.8611632270168855,0.9474416427158937,0.9981236065441226,0.06332312140718055,0.04928700949356413,0.9157800820123034
legacy_baseline,11,150,5,20,0.6,sqrt,8,0.4016393442622951,0.9916666666666667,0.5717227179135209,0.7664703717335296,0.9291649094363773,0.9986939603744956,0.46819787985865724,0.9814814814814815,0.6339712918660287,0.8049817739975699,0.9207072791468304,0.9987972230421827,-0.062248573952507824,0.008457630289546936,0.9207072791468304
legacy_baseline,12,150,10,10,,log2,6,0.28801564927219375,0.9932539682539683,0.44654564916819056,0.6667377001145415,0.8912298736110964,0.9978357681041674,0.3445161290322581,0.9888888888888889,0.5110047846889952,0.7196765498652291,0.8863957561000684,0.998261207332505,-0.06445913552080468,0.004834117511028024,0.8863957561000684
legacy_baseline,13,150,10,5,0.75,log2,15,0.7372058823529412,0.9946428571428572,0.8467905405405406,0.9297106824925816,0.977555856471928,0.9996981469122479,0.7904382470119522,0.9185185185185185,0.849678800856531,0.8896860986547085,0.9406665295612592,0.9990275127208268,-0.002888260315990432,0.03688932691066882,0.9406665295612592
legacy_baseline,14,150,20,2,0.6,0.5,8,0.47228276319529994,0.9888888888888889,0.6392612069518374,0.8113828020707844,0.9369808471347121,0.9989183647550832,0.5303643724696356,0.9703703703703703,0.6858638743455497,0.832274459974587,0.9339863822703348,0.9989258042666923,-0.04660266739371233,0.0029944648643772664,0.9339863822703348
legacy_baseline,15,300,10,1,0.75,log2,12,0.5913597733711048,0.9940476190476191,0.7415630550621669,0.8748952221290863,0.9630613894280674,0.9994368810289691,0.689419795221843,0.9351851851851852,0.793713163064833,0.8729472774416595,0.9216031110142934,0.9987974900060181,-0.05215010800266606,0.04145827841377403,0.9216031110142934
legacy_baseline,16,300,10,5,0.9,sqrt,12,0.6207705606322549,0.9974206349206349,0.7652610747450145,0.8894826243895534,0.9738705146532588,0.9996178286921358,0.6956819739547635,0.9398148148148148,0.7995273729814888,0.8781796158504932,0.9419358901648242,0.9990293194939281,-0.03426629823647431,0.03193462448843465,0.9419358901648242
legacy_baseline,17,100,2,2,0.6,sqrt,15,0.7586101331700597,0.9833333333333333,0.8564762809988767,0.9283332708949912,0.9761284931512989,0.9996587454925474,0.8331892826274849,0.8925925925925926,0.861868573983013,0.8800438196092751,0.9403778886965976,0.9985286097515024,-0.005392292984136238,0.03575060445470135,0.9403778886965976
legacy_baseline,18,100,5,20,,0.5,6,0.34660275114631095,0.9898809523809524,0.5134300710095708,0.7219135266539329,0.9206270258456567,0.9984497328264899,0.39909977494373594,0.9851851851851852,0.5680726107848372,0.7615230460921844,0.9347302770846877,0.9988830423808902,-0.05464253977526634,-0.014103251239031,0.9347302770846877
