feature,importance
numeric__merchant_previous_max_amount,0.4246880991530591
numeric__merchant_transactions_last_6_steps,0.11967491144954105
numeric__merchant_transactions_last_3_steps,0.09900533910124046
numeric__merchant_transactions_per_step,0.06660549462335627
numeric__category_previous_max_amount,0.04303483946112373
numeric__merchant_transactions_last_1_steps,0.03321457479588672
numeric__merchant_previous_std_amount,0.030616307570591837
numeric__category_previous_std_amount,0.026352977031837914
numeric__category_previous_avg_amount,0.01743282166587511
numeric__amount,0.016040387208113172
numeric__log_amount,0.015835499220772847
numeric__customer_previous_avg_spend,0.011634581898137441
numeric__merchant_previous_avg_amount,0.011424720088285795
numeric__category_amount_ratio,0.010821125723848924
numeric__merchant_transactions_last_24_steps,0.01055806335588106
numeric__merchant_amount_ratio,0.005850874406945258
numeric__customer_previous_std_spend,0.004994084745841602
numeric__customer_previous_max_spend,0.0048214915534901025
numeric__customer_spend_per_step,0.0037496193933623657
numeric__category_previous_transaction_count,0.003131113939395686
numeric__category_previous_total_amount,0.002670492762560688
numeric__customer_amount_last_24_steps,0.0022292445579776155
numeric__customer_transactions_per_step,0.0020209806014388396
numeric__category_amount_last_6_steps,0.0018006495017301601
numeric__customer_previous_transaction_count,0.00166522600613362
numeric__merchant_amount_last_24_steps,0.0016100318854893934
numeric__customer_amount_ratio,0.0015338506593635577
numeric__merchant_velocity_ratio,0.0015195768272113015
numeric__customer_amount_last_6_steps,0.0013935236685616683
numeric__customer_previous_min_spend,0.0013635542309822107
numeric__category_amount_last_24_steps,0.0013141907965734314
categorical__category_es_transportation,0.0012923800846349515
numeric__customer_transactions_last_24_steps,0.0012410203333702936
numeric__customer_category_spend_share,0.0011981850852960327
numeric__customer_previous_total_spend,0.0011258764814199966
numeric__merchant_previous_total_received,0.0011014311564728778
numeric__merchant_recent_amount_ratio,0.0010577910476349643
numeric__category_transactions_last_24_steps,0.000970079767448573
numeric__merchant_previous_transaction_count,0.0009695026403012951
numeric__category_amount_last_3_steps,0.0009020540279294979
numeric__merchant_amount_last_6_steps,0.0008988236182533685
numeric__category_amount_per_step,0.0008440555212796302
numeric__customer_amount_last_3_steps,0.0008274110166480223
numeric__merchant_received_per_step,0.0008163722282635783
numeric__category_amount_last_1_steps,0.0008071428717850269
numeric__category_velocity_ratio,0.0007949192865396473
numeric__merchant_amount_last_3_steps,0.0007608211208412074
numeric__merchant_amount_last_1_steps,0.0007494967311932568
numeric__customer_velocity_ratio,0.0007324694667941119
numeric__customer_transactions_last_6_steps,0.0006886983121309645
numeric__category_transactions_per_step,0.0005838200395309916
numeric__category_previous_min_amount,0.000580352970960938
numeric__merchant_previous_min_amount,0.0005354373134464473
numeric__category_transactions_last_6_steps,0.0005307735168908554
numeric__category_transactions_last_1_steps,0.0005307095619591048
numeric__category_transactions_last_3_steps,0.0005283682461852207
numeric__customer_category_previous_transaction_count,0.00032375966818039455
