iteration,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_features,max_depth,train_precision,train_recall,train_f1,train_pr_auc,val_precision,val_recall,val_f1,val_pr_auc,val_roc_auc,f1_gap,pr_auc_gap,selection_score
1,200,10,10,0.6,0.5,15,0.739247311827957,0.9821428571428571,0.843558282208589,0.9690059901089202,0.78046875,0.925,0.8466101694915255,0.9493129125382176,0.9990841376572321,-0.003051887282936483,0.0196930775707026,0.9493129125382176
21,100,50,20,,0.75,12,0.601051750926258,0.9978174603174603,0.7502051167300664,0.964620578564932,0.6554140127388535,0.9527777777777777,0.7766037735849056,0.9483587766591393,0.9990228551553386,-0.02639865685483922,0.01626180190579274,0.9483587766591393
6,150,5,10,0.9,0.75,12,0.6516839378238342,0.9982142857142857,0.7885579937304075,0.9717240758370219,0.7127808988764045,0.9398148148148148,0.810702875399361,0.9469217175035421,0.9989971789550119,-0.022144881668953564,0.024802358333479768,0.9469217175035421
25,150,10,5,0.9,0.75,15,0.7439456585942115,0.9996031746031746,0.8530308161192008,0.9805026139523628,0.8026208026208026,0.9074074074074074,0.8518035636679705,0.9435429528186277,0.998854572594713,0.0012272524512303429,0.03695966113373517,0.9429293265930125
16,300,10,5,0.9,sqrt,12,0.6207705606322549,0.9974206349206349,0.7652610747450145,0.9738705146532588,0.6956819739547635,0.9398148148148148,0.7995273729814888,0.9419358901648242,0.9990293194939281,-0.03426629823647431,0.03193462448843465,0.9419358901648242
23,200,20,10,0.6,0.75,20,0.7777251932481464,0.9781746031746031,0.8665084805343176,0.9705510477976231,0.8,0.9148148148148149,0.8535637149028078,0.9478175466687265,0.9989794353943703,0.012944765631509814,0.022733501128896605,0.9413451638529716
13,150,10,5,0.75,log2,15,0.7372058823529412,0.9946428571428572,0.8467905405405406,0.977555856471928,0.7904382470119522,0.9185185185185185,0.849678800856531,0.9406665295612592,0.9990275127208268,-0.002888260315990432,0.03688932691066882,0.9406665295612592
17,100,2,2,0.6,sqrt,15,0.7586101331700597,0.9833333333333333,0.8564762809988767,0.9761284931512989,0.8331892826274849,0.8925925925925926,0.861868573983013,0.9403778886965976,0.9985286097515024,-0.005392292984136238,0.03575060445470135,0.9403778886965976
24,200,50,5,0.75,0.5,8,0.4599447513812155,0.9910714285714286,0.6283018867924528,0.9445427847150655,0.5174963035978315,0.9722222222222222,0.6754583467352847,0.9401930884410041,0.99899077659017,-0.04715645994283191,0.004349696274061343,0.9401930884410041
19,300,20,5,0.75,0.75,10,0.5747760165403171,0.9928571428571429,0.7280663465735486,0.9583149288812394,0.6349598517603459,0.9518518518518518,0.7617636161541311,0.9395312425248259,0.9989607383914589,-0.0336972695805825,0.018783686356413476,0.9395312425248259
5,200,20,2,0.75,0.5,12,0.6381134480560867,0.9932539682539683,0.7770275514163756,0.9630699152678308,0.726027397260274,0.9324074074074075,0.8163761653830564,0.9375374716542446,0.9989090236827433,-0.03934861396668077,0.025532443613586198,0.9375374716542446
4,300,10,20,,sqrt,12,0.5553713527851459,0.9970238095238095,0.7133730834752982,0.9626483675727653,0.6188207266229899,0.962037037037037,0.7531714389271476,0.9367880031349939,0.9990160189742638,-0.0397983554518494,0.0258603644377714,0.9367880031349939
18,100,5,20,,0.5,6,0.34660275114631095,0.9898809523809524,0.5134300710095708,0.9206270258456567,0.39909977494373594,0.9851851851851852,0.5680726107848372,0.9347302770846877,0.9988830423808902,-0.05464253977526634,-0.014103251239031,0.9347302770846877
22,200,5,10,0.9,log2,20,0.7290219907407407,0.9998015873015873,0.8432061579651942,0.9752208394929016,0.7531787584143605,0.9324074074074075,0.8332643773272652,0.9396057488441165,0.9990577606768373,0.009941780637928943,0.0356150906487851,0.934634858525152
14,150,20,2,0.6,0.5,8,0.47228276319529994,0.9888888888888889,0.6392612069518374,0.9369808471347121,0.5303643724696356,0.9703703703703703,0.6858638743455497,0.9339863822703348,0.9989258042666923,-0.04660266739371233,0.0029944648643772664,0.9339863822703348
20,150,5,20,0.75,sqrt,10,0.48633932912007777,0.9924603174603175,0.65278955954323,0.94889138103991,0.560857908847185,0.9685185185185186,0.7103565365025467,0.9326317872681984,0.9989528534238876,-0.057566976959316674,0.0162595937717116,0.9326317872681984
2,100,2,10,0.6,0.5,6,0.35893191305599537,0.989484126984127,0.5267772261540087,0.9195770884426289,0.4208647362157874,0.9824074074074074,0.5892807553457373,0.9316438112239394,0.9988513785631091,-0.06250352919172864,-0.01206672278131049,0.9316438112239394
